INFO:root:Blob add op (0, 0, 255)+(0, 255, 0)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(344,422)+Blob of color(0, 0, 255),size7,location(338,414)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(338,414)+Blob of color(0, 0, 255),size5,location(344,422)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(343,421)+Blob of color(0, 0, 255),size7,location(338,415)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(338,415)+Blob of color(0, 0, 255),size5,location(343,421)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(343,420)+Blob of color(0, 0, 255),size7,location(339,414)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(339,414)+Blob of color(0, 0, 255),size5,location(343,420)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(344,421)+Blob of color(0, 0, 255),size7,location(339,415)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(339,415)+Blob of color(0, 0, 255),size5,location(344,421)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(345,420)+Blob of color(0, 0, 255),size7,location(339,414)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(339,414)+Blob of color(0, 0, 255),size5,location(345,420)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(344,421)+Blob of color(0, 0, 255),size7,location(339,415)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(339,415)+Blob of color(0, 0, 255),size5,location(344,421)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(345,421)+Blob of color(0, 0, 255),size7,location(338,414)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(338,414)+Blob of color(0, 0, 255),size5,location(345,421)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(345,422)+Blob of color(0, 0, 255),size7,location(338,413)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(338,413)+Blob of color(0, 0, 255),size5,location(345,422)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(344,423)+Blob of color(0, 0, 255),size7,location(339,414)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(339,414)+Blob of color(0, 0, 255),size5,location(344,423)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(343,424)+Blob of color(0, 0, 255),size7,location(340,415)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(340,415)+Blob of color(0, 0, 255),size5,location(343,424)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(343,425)+Blob of color(0, 0, 255),size7,location(339,415)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(339,415)+Blob of color(0, 0, 255),size5,location(343,425)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(343,425)+Blob of color(0, 0, 255),size7,location(339,416)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(339,416)+Blob of color(0, 0, 255),size5,location(343,425)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(344,424)+Blob of color(0, 0, 255),size7,location(338,415)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(338,415)+Blob of color(0, 0, 255),size5,location(344,424)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(344,423)+Blob of color(0, 0, 255),size7,location(338,416)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(338,416)+Blob of color(0, 0, 255),size5,location(344,423)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(343,422)+Blob of color(0, 0, 255),size7,location(338,416)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(338,416)+Blob of color(0, 0, 255),size5,location(343,422)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(342,422)+Blob of color(0, 0, 255),size7,location(339,416)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(339,416)+Blob of color(0, 0, 255),size5,location(342,422)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(343,423)+Blob of color(0, 0, 255),size7,location(339,416)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(339,416)+Blob of color(0, 0, 255),size5,location(343,423)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(343,423)+Blob of color(0, 0, 255),size7,location(338,417)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(338,417)+Blob of color(0, 0, 255),size5,location(343,423)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(344,422)+Blob of color(0, 0, 255),size7,location(338,417)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(338,417)+Blob of color(0, 0, 255),size5,location(344,422)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(345,422)+Blob of color(0, 0, 255),size7,location(337,418)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(337,418)+Blob of color(0, 0, 255),size5,location(345,422)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(346,423)+Blob of color(0, 0, 255),size7,location(338,418)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(338,418)+Blob of color(0, 0, 255),size5,location(346,423)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(345,423)+Blob of color(0, 0, 255),size7,location(339,418)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(339,418)+Blob of color(0, 0, 255),size5,location(345,423)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(345,422)+Blob of color(0, 0, 255),size7,location(338,417)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(338,417)+Blob of color(0, 0, 255),size5,location(345,422)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(345,423)+Blob of color(0, 0, 255),size7,location(339,418)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(339,418)+Blob of color(0, 0, 255),size5,location(345,423)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(345,422)+Blob of color(0, 0, 255),size7,location(340,418)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(340,418)+Blob of color(0, 0, 255),size5,location(345,422)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(344,422)+Blob of color(0, 0, 255),size7,location(341,418)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(341,418)+Blob of color(0, 0, 255),size5,location(344,422)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(345,422)+Blob of color(0, 0, 255),size7,location(341,419)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(341,419)+Blob of color(0, 0, 255),size5,location(345,422)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(346,423)+Blob of color(0, 0, 255),size7,location(340,420)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(340,420)+Blob of color(0, 0, 255),size5,location(346,423)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(345,423)+Blob of color(0, 0, 255),size7,location(339,419)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(339,419)+Blob of color(0, 0, 255),size5,location(345,423)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(346,422)+Blob of color(0, 0, 255),size7,location(340,418)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(340,418)+Blob of color(0, 0, 255),size5,location(346,422)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(346,423)+Blob of color(0, 0, 255),size7,location(339,418)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(339,418)+Blob of color(0, 0, 255),size5,location(346,423)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(347,423)+Blob of color(0, 0, 255),size7,location(338,418)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(338,418)+Blob of color(0, 0, 255),size5,location(347,423)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(346,422)+Blob of color(0, 0, 255),size7,location(339,419)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(339,419)+Blob of color(0, 0, 255),size5,location(346,422)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(345,421)+Blob of color(0, 0, 255),size7,location(339,419)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(339,419)+Blob of color(0, 0, 255),size5,location(345,421)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(346,420)+Blob of color(0, 0, 255),size7,location(338,418)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(338,418)+Blob of color(0, 0, 255),size5,location(346,420)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(346,421)+Blob of color(0, 0, 255),size7,location(337,417)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(337,417)+Blob of color(0, 0, 255),size5,location(346,421)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(345,422)+Blob of color(0, 0, 255),size7,location(337,416)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(337,416)+Blob of color(0, 0, 255),size5,location(345,422)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(345,422)+Blob of color(0, 0, 255),size7,location(338,417)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(338,417)+Blob of color(0, 0, 255),size5,location(345,422)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(345,421)+Blob of color(0, 0, 255),size7,location(339,416)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(339,416)+Blob of color(0, 0, 255),size5,location(345,421)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(346,421)+Blob of color(0, 0, 255),size7,location(338,415)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(338,415)+Blob of color(0, 0, 255),size5,location(346,421)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(346,420)+Blob of color(0, 0, 255),size7,location(337,414)
